Item.Filename,target_word,image_selection,feedback,reps,Item.Height,Item.Backness,F3,F0,Talker,Duration,Experiment,SR,F1,F2
E2_0.525_1.749.wav,TEST,forward,FALSE,2,0.525,1.749,3034.3480775556195,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,316.42150952460867,1819.0600955272582
E2_0.525_2.025.wav,TEST,forward,FALSE,2,0.525,2.025,3192.137219693921,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,316.42150952460867,2397.2444614278993
E2_0.599_1.551.wav,TEST,forward,FALSE,2,0.599,1.551,2981.378543999685,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,355.66250905324466,1677.369837902247
E2_0.599_1.675.wav,TEST,forward,FALSE,2,0.599,1.675,3025.6443306258593,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,340.7248348614856,1819.0600955272582
E2_0.599_1.918.wav,TEST,forward,FALSE,2,0.599,1.918,3162.7395247124323,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,340.7248348614856,2319.4264531927347
E2_0.675_1.398.wav,TEST,forward,FALSE,2,0.675,1.398,2936.844689477732,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,383.74653629932715,1553.0597136592621
E2_0.675_1.502.wav,TEST,forward,FALSE,2,0.675,1.502,2983.8090763666387,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,383.74653629932715,1723.2757647873818
E2_0.675_1.625.wav,TEST,forward,FALSE,2,0.675,1.625,3029.1950029091527,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,367.629344901464,1866.9758637736368
E2_0.675_1.825.wav,TEST,forward,FALSE,2,0.675,1.825,3142.9461345572968,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,367.629344901464,2280.3294694315855
E2_0.675_1.951.wav,TEST,forward,FALSE,2,0.675,1.951,3245.752451193537,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,379.1032722407615,2667.2643925642033
E2_0.675_2.025.wav,TEST,forward,FALSE,2,0.675,2.025,3302.234114513243,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,379.1032722407615,2872.1284499708745
E2_0.775_1.283.wav,TEST,forward,FALSE,2,0.775,1.283,2915.4903413513043,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,424.10551183027724,1529.9376668422528
E2_0.775_1.451.wav,TEST,forward,FALSE,2,0.775,1.451,2993.2169295919307,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,424.10551183027724,1809.8192781167945
E2_0.775_1.577.wav,TEST,forward,FALSE,2,0.775,1.577,3043.026142349407,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,406.2932606162998,1966.6270867570845
E2_0.775_1.731.wav,TEST,forward,FALSE,2,0.775,1.731,3133.6958605176255,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,406.2932606162998,2294.052574393771
E2_0.775_1.875.wav,TEST,forward,FALSE,2,0.775,1.875,3250.9612768800107,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,418.9739114278045,2732.053092557923
E2_0.785_1.981.wav,TEST,forward,FALSE,2,0.785,1.981,3342.931145032602,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,423.1846692415614,3068.0843453914404
E2_0.825_1.163.wav,TEST,forward,FALSE,2,0.825,1.163,2878.5972405552084,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,445.84986640093035,1426.5044254050422
E2_0.875_0.965.wav,TEST,forward,FALSE,2,0.875,0.965,2815.120216279417,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,468.70907787040994,1230.2618020718326
E2_0.875_1.246.wav,TEST,forward,FALSE,2,0.875,1.246,2926.7675981396474,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,468.70907787040994,1629.4246775379227
E2_0.875_1.398.wav,TEST,forward,FALSE,2,0.875,1.398,3001.5846617340408,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,468.70907787040994,1896.9114178508664
E2_0.875_1.502.wav,TEST,forward,FALSE,2,0.875,1.502,3059.7357448389826,264.282566917471,E2_synth,0.2492,1b (synthesized),195.38701284271033,468.70907787040994,2104.8137721818844
E2_0.875_1.625.wav,TEST,forward,FALSE,2,0.875,1.625,3115.472735088019,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,449.0234958432644,2280.329469431585
E2_0.875_1.875.wav,TEST,forward,FALSE,2,0.875,1.875,3317.2721136331634,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,463.0377823424118,3019.385624533652
